Question Text,Answer Type,Description,Has Conditional Logic?,Indicator database,Logic Summary,Platform Question ID. Populated after upload,Required?,Response option set,Stakeholder Category,Status,Status 1,Subtheme,Theme
Some individuals or groups in this community are excluded from the benefits of this intervention.,Scale,To what extent do you agree or disagree with the following statement?,No,Perceived exclusion or negative impacts on some community members (https://www.notion.so/Perceived-exclusion-or-negative-impacts-on-some-community-members-31e60bfb014e805e81edf44c68a2486f?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Social Burdens and Tensions Associated with the Intervention (https://www.notion.so/Perceived-Social-Burdens-and-Tensions-Associated-with-the-Intervention-31b60bfb014e80109a82d2a5f0217410?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"This intervention has created disadvantages for some households or groups in the community.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived exclusion or negative impacts on some community members (https://www.notion.so/Perceived-exclusion-or-negative-impacts-on-some-community-members-31e60bfb014e805e81edf44c68a2486f?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Social Burdens and Tensions Associated with the Intervention (https://www.notion.so/Perceived-Social-Burdens-and-Tensions-Associated-with-the-Intervention-31b60bfb014e80109a82d2a5f0217410?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"This intervention has increased tensions or disagreements within the community.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived increase in community tensions associated with the intervention (https://www.notion.so/Perceived-increase-in-community-tensions-associated-with-the-intervention-31e60bfb014e8046b615c445e66ca01d?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Social Burdens and Tensions Associated with the Intervention (https://www.notion.so/Perceived-Social-Burdens-and-Tensions-Associated-with-the-Intervention-31b60bfb014e80109a82d2a5f0217410?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"This intervention has created conflicts or disagreements between different groups in the community.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived increase in community tensions associated with the intervention (https://www.notion.so/Perceived-increase-in-community-tensions-associated-with-the-intervention-31e60bfb014e8046b615c445e66ca01d?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Social Burdens and Tensions Associated with the Intervention (https://www.notion.so/Perceived-Social-Burdens-and-Tensions-Associated-with-the-Intervention-31b60bfb014e80109a82d2a5f0217410?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The intervention has strained relationships between people in this community.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived increase in community tensions associated with the intervention (https://www.notion.so/Perceived-increase-in-community-tensions-associated-with-the-intervention-31e60bfb014e8046b615c445e66ca01d?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Social Burdens and Tensions Associated with the Intervention (https://www.notion.so/Perceived-Social-Burdens-and-Tensions-Associated-with-the-Intervention-31b60bfb014e80109a82d2a5f0217410?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The views of community members influence decisions about this intervention.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived influence of community input on decisions (https://www.notion.so/Perceived-influence-of-community-input-on-decisions-31e60bfb014e809db2ffca2cf37b078c?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Inclusiveness and Representation in Village Decision-Making (https://www.notion.so/Perceived-Inclusiveness-and-Representation-in-Village-Decision-Making-31b60bfb014e809bbfbfd2029225ca6c?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"When community members share their opinions about this intervention, it influences the decisions that are made.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived influence of community input on decisions (https://www.notion.so/Perceived-influence-of-community-input-on-decisions-31e60bfb014e809db2ffca2cf37b078c?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Inclusiveness and Representation in Village Decision-Making (https://www.notion.so/Perceived-Inclusiveness-and-Representation-in-Village-Decision-Making-31b60bfb014e809bbfbfd2029225ca6c?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"The opinions and suggestions of community members are taken seriously when decisions about this intervention are made.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived influence of community input on decisions (https://www.notion.so/Perceived-influence-of-community-input-on-decisions-31e60bfb014e809db2ffca2cf37b078c?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Inclusiveness and Representation in Village Decision-Making (https://www.notion.so/Perceived-Inclusiveness-and-Representation-in-Village-Decision-Making-31b60bfb014e809bbfbfd2029225ca6c?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"Community members have opportunities to participate in discussions and decisions related to this intervention.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived inclusiveness and voice in community decision-making (https://www.notion.so/Perceived-inclusiveness-and-voice-in-community-decision-making-31e60bfb014e80d7b189d1c590724a40?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Inclusiveness and Representation in Village Decision-Making (https://www.notion.so/Perceived-Inclusiveness-and-Representation-in-Village-Decision-Making-31b60bfb014e809bbfbfd2029225ca6c?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
People in this community are able to share their opinions about decisions related to this intervention.,Scale,To what extent do you agree or disagree with the following statement?,No,Perceived inclusiveness and voice in community decision-making (https://www.notion.so/Perceived-inclusiveness-and-voice-in-community-decision-making-31e60bfb014e80d7b189d1c590724a40?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Inclusiveness and Representation in Village Decision-Making (https://www.notion.so/Perceived-Inclusiveness-and-Representation-in-Village-Decision-Making-31b60bfb014e809bbfbfd2029225ca6c?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
"Decisions about this intervention are discussed in ways that allow community members to participate and share their views.
",Scale,To what extent do you agree or disagree with the following statement?,No,Perceived inclusiveness and voice in community decision-making (https://www.notion.so/Perceived-inclusiveness-and-voice-in-community-decision-making-31e60bfb014e80d7b189d1c590724a40?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Inclusiveness and Representation in Village Decision-Making (https://www.notion.so/Perceived-Inclusiveness-and-Representation-in-Village-Decision-Making-31b60bfb014e809bbfbfd2029225ca6c?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
Poorer or more vulnerable households in this community are able to benefit from this intervention.,Scale,To what extent do you agree or disagree with the following statement?,No,Perceived inclusion of vulnerable households in benefit allocation (https://www.notion.so/Perceived-inclusion-of-vulnerable-households-in-benefit-allocation-31e60bfb014e80309a82cfb477412345?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Fairness of Benefit Distribution Within the Village (https://www.notion.so/Perceived-Fairness-of-Benefit-Distribution-Within-the-Village-31b60bfb014e808d909afeb5ab9bd0be?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
The benefits from this intervention reach households that need them most.,Scale,To what extent do you agree or disagree with the following statement?,No,,,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,,Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
Poorer households in this community are not excluded from the benefits of this intervention.,Scale,To what extent do you agree or disagree with the following statement?,No,Perceived inclusion of vulnerable households in benefit allocation (https://www.notion.so/Perceived-inclusion-of-vulnerable-households-in-benefit-allocation-31e60bfb014e80309a82cfb477412345?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Fairness of Benefit Distribution Within the Village (https://www.notion.so/Perceived-Fairness-of-Benefit-Distribution-Within-the-Village-31b60bfb014e808d909afeb5ab9bd0be?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
What is your gender?,Multiple Choice,,No,,,,Yes,Gender – Standard (https://www.notion.so/Gender-Standard-30a60bfb014e80e8afa9e5dab5dee2ce?pvs=21),,In the platform,Not started,,Demographics (https://www.notion.so/Demographics-32260bfb014e80deb770e982c781523a?pvs=21)
What is your age?,Number,,No,,,,Yes,,,In the platform,Not started,,Demographics (https://www.notion.so/Demographics-32260bfb014e80deb770e982c781523a?pvs=21)
Where do you live?,Multiple Choice,,No,,,,No,Villages - Ntakata Mountains (https://www.notion.so/Villages-Ntakata-Mountains-32260bfb014e806893befd3aa0065506?pvs=21),,In the platform,Not started,,Demographics (https://www.notion.so/Demographics-32260bfb014e80deb770e982c781523a?pvs=21)
How long have you lived in this village?,Scale,,No,,,,No,Duration – 5 Point (https://www.notion.so/Duration-5-Point-30a60bfb014e8043a079e8236e2f593e?pvs=21),,In Development,Not started,,Demographics (https://www.notion.so/Demographics-32260bfb014e80deb770e982c781523a?pvs=21)
What is your marital status?,Multiple Choice,,No,,,,No,Marital status (https://www.notion.so/Marital-status-32260bfb014e806ea13ded374160fccf?pvs=21),,In Development,Not started,,Demographics (https://www.notion.so/Demographics-32260bfb014e80deb770e982c781523a?pvs=21)
