Indicator statement,Indicator descriptor,Sub-themes,Theme,Development Status,Indicator Type,Level of Analysis,ToC stage,Indicator sources,Developed By,Date Started,Date Completed,Status
Perceived fairness of benefit distribution,"Measures the extent to which community members perceive that the benefits generated by an intervention are distributed fairly across households within the community. The indicator captures perceptions of distributive justice and whether benefits are seen as equitably shared rather than concentrated among particular individuals, families, or groups.",Perceived Fairness of Benefit Distribution Within the Village (https://www.notion.so/Perceived-Fairness-of-Benefit-Distribution-Within-the-Village-31b60bfb014e808d909afeb5ab9bd0be?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Perceived increase in community tensions associated with the intervention,"Measures the extent to which community members perceive that the intervention has increased tensions, disagreements, or conflict within the community. The indicator captures whether the intervention is perceived to strain social relationships or create divisions between individuals or groups.",Perceived Social Burdens and Tensions Associated with the Intervention (https://www.notion.so/Perceived-Social-Burdens-and-Tensions-Associated-with-the-Intervention-31b60bfb014e80109a82d2a5f0217410?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Perceived exclusion or negative impacts on some community members,"Measures the extent to which community members perceive that the intervention excludes, disadvantages, or negatively affects certain individuals or groups within the community. The indicator captures perceptions that some people may experience harms, losses, or unfair treatment associated with the intervention.",Perceived Social Burdens and Tensions Associated with the Intervention (https://www.notion.so/Perceived-Social-Burdens-and-Tensions-Associated-with-the-Intervention-31b60bfb014e80109a82d2a5f0217410?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Perceived burdens or restrictions associated with intervention rules,"Measures the extent to which community members perceive that the rules, requirements, or enforcement mechanisms associated with the intervention create burdens, restrictions, or pressures for community members. The indicator captures whether participation in or compliance with the intervention is experienced as difficult, restrictive, or stressful.",Perceived Social Burdens and Tensions Associated with the Intervention (https://www.notion.so/Perceived-Social-Burdens-and-Tensions-Associated-with-the-Intervention-31b60bfb014e80109a82d2a5f0217410?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Perceived Integrity of Intervention Implementers,"Measures the extent to which community members believe that those responsible for implementing the intervention act honestly, follow agreed rules, and manage resources in a transparent and accountable manner.",Perceived Trust in Implementers (https://www.notion.so/Perceived-Trust-in-Implementers-31b60bfb014e8091bb18e93c5232d7bb?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Perceived Goodwill of Implementers Toward the Community,Measures the extent to which community members believe that intervention implementers act in good faith and seek to advance the interests and wellbeing of the community.,Perceived Trust in Implementers (https://www.notion.so/Perceived-Trust-in-Implementers-31b60bfb014e8091bb18e93c5232d7bb?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Perceived Responsiveness of Implementers to Community Concerns,"Measures the extent to which community members believe that intervention implementers listen to, consider, and respond appropriately to concerns raised by community members.",Perceived Trust in Implementers (https://www.notion.so/Perceived-Trust-in-Implementers-31b60bfb014e8091bb18e93c5232d7bb?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Perceived Continuity of Intervention Benefits,"Measures the extent to which community members believe that the benefits generated by the intervention will continue over time without interruption, reduction, or sudden withdrawal.",Perceived Continuity of the Intervention and Its Benefits (https://www.notion.so/Perceived-Continuity-of-the-Intervention-and-Its-Benefits-31b60bfb014e804fae8cc060772420b6?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Confidence that the Intervention Will Remain in Place,Measures the extent to which community members believe that the intervention itself will continue to operate in the community over the coming years.,Perceived Continuity of the Intervention and Its Benefits (https://www.notion.so/Perceived-Continuity-of-the-Intervention-and-Its-Benefits-31b60bfb014e804fae8cc060772420b6?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Perceived Risk of Sudden Interruption of Intervention Benefits,Measures the extent to which community members are concerned that the intervention or its benefits could stop unexpectedly or be withdrawn without warning.,Perceived Continuity of the Intervention and Its Benefits (https://www.notion.so/Perceived-Continuity-of-the-Intervention-and-Its-Benefits-31b60bfb014e804fae8cc060772420b6?pvs=21),Social Legitimacy,Approved,Scale-Based,Household,2: Outcome,Social assessment of conservation initiatives: A review of rapid methodologies (https://www.notion.so/Social-assessment-of-conservation-initiatives-A-review-of-rapid-methodologies-31e60bfb014e8092b085c64943831d2a?pvs=21),Kate McAlpine,"February 27, 2026","March 9, 2026",Published
Personal experience of the outcome,Whether the respondent or members of their household have personally experienced the outcome being assessed.,"Perceived Importance and Value of Improved Household Health (https://www.notion.so/Perceived-Importance-and-Value-of-Improved-Household-Health-31b60bfb014e80a8b247f743b8cb7739?pvs=21), Perceived Importance and Value of Improved Reliability of Essential Public Services (https://www.notion.so/Perceived-Importance-and-Value-of-Improved-Reliability-of-Essential-Public-Services-31b60bfb014e8099874ed7c92b2e7f35?pvs=21), Perceived Importance and Value of Improved School Attendance and Participation (https://www.notion.so/Perceived-Importance-and-Value-of-Improved-School-Attendance-and-Participation-31b60bfb014e80e9a6cefb9d8585191a?pvs=21), Perceived Importance and Value of Increased Reliability of Farming Conditions
 (https://www.notion.so/Perceived-Importance-and-Value-of-Increased-Reliability-of-Farming-Conditions-31b60bfb014e808e98bcf5a07c019969?pvs=21), Perceived Importance and Value of Increased Household Income
 (https://www.notion.so/Perceived-Importance-and-Value-of-Increased-Household-Income-31b60bfb014e80f9ab83f969c3cd594d?pvs=21), Perceived Importance and Value of Reduced Caregiving Burden (https://www.notion.so/Perceived-Importance-and-Value-of-Reduced-Caregiving-Burden-31b60bfb014e80539c57ffb44648e6f8?pvs=21), Perceived Importance and Value of Increased Village-Level Economic Activity (https://www.notion.so/Perceived-Importance-and-Value-of-Increased-Village-Level-Economic-Activity-31b60bfb014e8031be93cbdf7d93a977?pvs=21)",Social Valuation,Approved,Binary,Household,2: Outcome,The SROI Guide (2012) (https://www.notion.so/The-SROI-Guide-2012-31860bfb014e8065a897c91b8cd6127c?pvs=21),Kate McAlpine,"March 3, 2026","March 9, 2026",Published
